_Word,Pron,Log_Freq_HAL,Log_Freq_SUBTLEX,aoa
care,kɛr,11.56,4.39,5.65
cared,kɛrd,8.1,2.86,5.65
cares,kɛrz,9.35,3.31,5.65
Carl,kɑrl,9.65,3.14,NaN
carp,kɑrp,6.48,1.6,11.42
cars,kɑrz,10.35,3.37,3.37
cart,kɑrt,8.69,2.66,6.16
carte,kɑrt,6.27,1.79,11.93
carts,kɑrts,8.12,1.99,6.16
carve,kɑrv,6.76,2.2,6.35
carved,kɑrvd,7.15,2.3,6.35
case,kes,12.2,4.16,6.74
cased,kest,5.03,1.34,6.74
cash,kæ∫,10.58,3.57,4.84
cashed,kæ∫t,6.34,2.04,4.84
cask,kæsk,5.51,0.85,13.12
casks,kæsks,4.77,0.95,13.12
cast,kæst,10.1,3.07,7.24
caste,kæst,7.39,1.65,13.07
casts,kæsts,7.41,1.71,7.24
cat,kæt,10.56,3.53,3.68
cat's,kæts,7.68,NULL,NaN
catch,kæ©,10.03,3.84,4.61
cats,kæts,9.78,3,3.68
caught,kɔt,10.03,3.68,4.61
cause,kɔz,11.29,4.2,5.84
caused,kɔzd,10.32,3.12,5.84
cave,kev,8.92,2.85,6.74
caved,kevd,5.85,1.76,6.74
caves,kevz,7.93,2.31,6.74
cease,s!s,8.27,2.65,9.26
ceased,s!st,7.52,1.84,9.26
cede,s!d,5.45,0.85,15.5
cell,sɛl,9.69,3.44,10
cells,sɛlz,10.27,2.79,10
Celt,kɛlt,5.03,0.7,NaN
cent,sɛnt,8.75,2.68,6
cents,sɛnts,10.3,3.05,6
Chad,©æd,8.49,2.56,NaN
chafe,©ef,4.36,1.15,11.68
chain,©en,10.06,3.03,5.22
chains,©enz,8.85,2.59,5.22
chair,©ɛr,9.83,3.4,3.43
chairs,©ɛrz,8.04,2.7,3.43
chaise,∫ez,4.32,1.2,13.33
